IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.118.70.10,443,443,true,LHR,Europe,London,188,4.29
34.65.241.102,443,443,true,FRA,Europe,Frankfurt,170,4.28
34.118.106.154,443,443,true,FRA,Europe,Frankfurt,206,4.23
34.65.59.28,443,443,true,FRA,Europe,Frankfurt,175,4.14
34.65.61.221,443,443,true,FRA,Europe,Frankfurt,176,4.05
34.65.156.25,443,443,true,FRA,Europe,Frankfurt,174,4.00
34.65.153.152,443,443,true,FRA,Europe,Frankfurt,162,3.98
34.65.65.83,443,443,true,FRA,Europe,Frankfurt,207,3.91
34.65.93.149,443,443,true,FRA,Europe,Frankfurt,179,3.74
34.65.209.66,443,443,true,FRA,Europe,Frankfurt,169,3.53
34.65.100.142,443,443,true,FRA,Europe,Frankfurt,212,3.52
34.154.151.69,443,443,true,FRA,Europe,Frankfurt,216,3.33
34.65.236.13,443,443,true,FRA,Europe,Frankfurt,181,3.28
34.65.196.224,443,443,true,FRA,Europe,Frankfurt,174,3.24
34.65.89.88,443,443,true,FRA,Europe,Frankfurt,175,3.22
34.116.132.248,443,443,true,FRA,Europe,Frankfurt,204,3.15
34.118.64.15,443,443,true,CDG,Europe,Paris,189,3.12
34.65.140.217,443,443,true,FRA,Europe,Frankfurt,203,3.05
34.140.239.154,2095,80,false,CDG,Europe,Paris,163,3.00
34.140.239.154,2082,80,false,CDG,Europe,Paris,164,2.98
34.141.248.249,2082,80,false,AMS,Europe,Amsterdam,165,2.95
34.140.239.154,2083,80,false,CDG,Europe,Paris,164,2.93
34.140.239.154,2052,80,false,CDG,Europe,Paris,163,2.90
34.141.248.249,2095,80,false,AMS,Europe,Amsterdam,163,2.90
34.140.239.154,2086,80,false,CDG,Europe,Paris,162,2.89
34.140.239.154,2096,80,false,CDG,Europe,Paris,162,2.88
34.140.239.154,2087,80,false,CDG,Europe,Paris,165,2.87
34.116.132.90,443,443,true,FRA,Europe,Frankfurt,175,2.87
34.65.26.25,443,443,true,FRA,Europe,Frankfurt,227,2.86
34.118.73.81,443,443,true,FRA,Europe,Frankfurt,216,2.84
34.118.94.202,443,443,true,FRA,Europe,Frankfurt,196,2.78
34.141.248.249,2086,80,false,AMS,Europe,Amsterdam,163,2.78
